中文简称,地区码,区域名称,上级区域编码,
中国,1,中华人民共和国,,
北京,110000,北京,1,
北京,110100,北京市,110000,
东城区,110101,东城区,110100,
西城区,110102,西城区,110100,
朝阳区,110105,朝阳区,110100,
丰台区,110106,丰台区,110100,
石景山区,110107,石景山区,110100,
海淀区,110108,海淀区,110100,
门头沟区,110109,门头沟区,110100,
房山区,110111,房山区,110100,
通州区,110112,通州区,110100,
顺义区,110113,顺义区,110100,
昌平区,110114,昌平区,110100,
大兴区,110115,大兴区,110100,
怀柔区,110116,怀柔区,110100,
平谷区,110117,平谷区,110100,
密云区,110118,密云区,110100,
延庆区,110119,延庆区,110100,
天津,120000,天津,1,
天津,120100,天津市,120000,
和平区,120101,和平区,120100,
河东区,120102,河东区,120100,
河西区,120103,河西区,120100,
南开区,120104,南开区,120100,
河北区,120105,河北区,120100,
红桥区,120106,红桥区,120100,
东丽区,120110,东丽区,120100,
西青区,120111,西青区,120100,
津南区,120112,津南区,120100,
北辰区,120113,北辰区,120100,
武清区,120114,武清区,120100,
宝坻区,120115,宝坻区,120100,
滨海新区,120116,滨海新区,120100,
宁河区,120117,宁河区,120100,
静海区,120118,静海区,120100,
蓟州区,120119,蓟州区,120100,
河北,130000,河北省,1,
石家庄,130100,石家庄市,130000,
长安区,130102,长安区,130100,
桥西区,130104,桥西区,130100,
新华区,130105,新华区,130100,
井陉矿区,130107,井陉矿区,130100,
裕华区,130108,裕华区,130100,
藁城区,130109,藁城区,130100,
鹿泉区,130110,鹿泉区,130100,
栾城区,130111,栾城区,130100,
井陉县,130121,井陉县,130100,
正定县,130123,正定县,130100,
行唐县,130125,行唐县,130100,
灵寿县,130126,灵寿县,130100,
高邑县,130127,高邑县,130100,
深泽县,130128,深泽县,130100,
赞皇县,130129,赞皇县,130100,
无极县,130130,无极县,130100,
平山县,130131,平山县,130100,
元氏县,130132,元氏县,130100,
赵县,130133,赵县,130100,
辛集市,130181,辛集市,130100,
晋州市,130183,晋州市,130100,
新乐市,130184,新乐市,130100,
唐山,130200,唐山市,130000,
路南区,130202,路南区,130200,
路北区,130203,路北区,130200,
古冶区,130204,古冶区,130200,
开平区,130205,开平区,130200,
丰南区,130207,丰南区,130200,
丰润区,130208,丰润区,130200,
曹妃甸区,130209,曹妃甸区,130200,
滦县,130223,滦县,130200,
滦南县,130224,滦南县,130200,
